Category,State,Year,Value
Revenue_Expenditure,Assam,2008-09,14243
Revenue_Expenditure,Assam,2009-10,21232
Revenue_Expenditure,Assam,2010-11,22952
Revenue_Expenditure,Assam,2011-12,26529
Revenue_Expenditure,Assam,2012-13,29137
Revenue_Expenditure,Assam,2013-14,31972
Revenue_Expenditure,Assam,2014-15,52429
Revenue_Expenditure,Assam,2015-16,51563
Revenue_Expenditure,Bihar,1980-81,929
Revenue_Expenditure,Bihar,1981-82,1167
Revenue_Expenditure,Bihar,1982-83,1357
Revenue_Expenditure,Bihar,1983-84,1432
Revenue_Expenditure,Bihar,1984-85,1687
Revenue_Expenditure,Bihar,1985-86,2098
Revenue_Expenditure,Bihar,1986-87,2277
Revenue_Expenditure,Bihar,1987-88,2619
Revenue_Expenditure,Bihar,1988-89,3211
Revenue_Expenditure,Bihar,1989-90,3945
Revenue_Expenditure,Bihar,1990-91,4888
Revenue_Expenditure,Bihar,1991-92,5739
Revenue_Expenditure,Bihar,1992-93,6570
Revenue_Expenditure,Bihar,1993-94,7319
Revenue_Expenditure,Bihar,1994-95,7731
Revenue_Expenditure,Bihar,1995-96,8456
Revenue_Expenditure,Bihar,1996-97,8254
Revenue_Expenditure,Bihar,1997-98,8957
Revenue_Expenditure,Bihar,1998-99,10623
Revenue_Expenditure,Bihar,1999-00,16128
Revenue_Expenditure,Bihar,2000-01,14345
Revenue_Expenditure,Bihar,2001-02,12560
Revenue_Expenditure,Bihar,2002-03,14025
Revenue_Expenditure,Bihar,2003-04,14632
Revenue_Expenditure,Bihar,2004-05,14638
Revenue_Expenditure,Bihar,2005-06,17756
Revenue_Expenditure,Bihar,2006-07,20585
Revenue_Expenditure,Bihar,2007-08,23565
Revenue_Expenditure,Bihar,2008-09,28512
Revenue_Expenditure,Bihar,2009-10,32584
Revenue_Expenditure,Bihar,2010-11,38216
Revenue_Expenditure,Bihar,2011-12,46499
Revenue_Expenditure,Bihar,2012-13,54466
Revenue_Expenditure,Bihar,2013-14,62477
Revenue_Expenditure,Bihar,2014-15,100255
Revenue_Expenditure,Bihar,2015-16,91208
Revenue_Expenditure,Chhattisgarh,1980-81,0
